Iteration;Algorithm;DatasetName;DatasetSize;Time Insere;Counter Comparisons Insere;Time Pesquisa;Counter Comparisons Pesquisa;Time Retira;Counter Comparisons Retira
3;LinearSearch;AlmostOrdered;1000;4.318;1137;4.299;1138;0.099;14;
3;TreapTree;Random;1000;0.251;10;0.152;11;0.174;11;
3;AVLTree;Random;1000;0.207;36;0.124;23;0.191;32;
3;RedBlackTree;Random;1000;0.335;48;0.142;23;0.26;40;
3;BinarySearchTree;Random;1000;1.134;503;2.218;1002;2.144;1003;
3;BinarySearch;Random;1000;0.915;272;0.144;19;0.743;269;
3;LinearSearch;Random;1000;0.182;29;0.136;30;0.144;27;
4;TreapTree;Ordered;10;0.003;2;0.001;3;0.001;1;
4;AVLTree;Ordered;10;0.003;14;0.001;7;0.002;9;
4;RedBlackTree;Ordered;10;0.004;21;0.001;8;0.003;17;
4;BinarySearchTree;Ordered;10;0.003;8;0.001;12;0.002;13;
4;BinarySearch;Ordered;10;0.002;8;0.002;4;0.002;10;
4;LinearSearch;Ordered;10;0.002;15;0.001;16;0.001;5;
4;TreapTree;OrderedInverse;10;0.003;1;0.001;3;0.001;2;
4;AVLTree;OrderedInverse;10;0.003;12;0.001;7;0.002;11;
4;RedBlackTree;OrderedInverse;10;0.003;18;0.001;7;0.002;18;
4;BinarySearchTree;OrderedInverse;10;0.002;8;0.001;12;0.001;13;
4;BinarySearch;OrderedInverse;10;0.002;13;0.001;4;0.001;5;
4;LinearSearch;OrderedInverse;10;0.002;11;0.001;12;0.001;5;
4;TreapTree;AlmostOrdered;10;0.002;2;0.002;4;0.002;2;
4;AVLTree;AlmostOrdered;10;0.002;14;0.001;8;0.002;9;
4;RedBlackTree;AlmostOrdered;10;0.003;20;0.001;8;0.003;18;
4;BinarySearchTree;AlmostOrdered;10;0.002;8;0.001;12;0.001;13;
4;BinarySearch;AlmostOrdered;10;0.002;9;0.002;4;0.002;9;
4;LinearSearch;AlmostOrdered;10;0.002;14;0.002;15;0.001;5;
4;TreapTree;Random;10;0.002;2;0.001;3;0.002;2;
4;AVLTree;Random;10;0.003;13;0.002;7;0.002;9;
4;RedBlackTree;Random;10;0.003;17;0.001;7;0.003;16;
4;BinarySearchTree;Random;10;0.002;8;0.001;12;0.001;13;
4;BinarySearch;Random;10;0.003;11;0.001;4;0.001;6;
4;LinearSearch;Random;10;0.002;7;0.002;8;0.001;8;
4;TreapTree;Ordered;100;0.014;4;0.01;7;0.009;4;
4;AVLTree;Ordered;100;0.014;29;0.009;14;0.01;17;
4;RedBlackTree;Ordered;100;0.03;55;0.01;16;0.018;29;
4;BinarySearchTree;Ordered;100;0.017;53;0.025;102;0.026;103;
4;BinarySearch;Ordered;100;0.01;14;0.01;11;0.027;63;
4;LinearSearch;Ordered;100;0.064;150;0.056;151;0.004;5;
4;TreapTree;OrderedInverse;100;0.014;4;0.008;7;0.008;3;
4;AVLTree;OrderedInverse;100;0.012;23;0.008;15;0.011;21;
4;RedBlackTree;OrderedInverse;100;0.03;47;0.008;15;0.016;34;
4;BinarySearchTree;OrderedInverse;100;0.016;53;0.025;102;0.025;103;
4;BinarySearch;OrderedInverse;100;0.033;66;0.01;11;0.008;11;
4;LinearSearch;OrderedInverse;100;0.057;101;0.054;102;0.004;5;
